Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0603_1608Metric",47.685000,-31.340000,-90.000000,top
"C101","1u","C_0603_1608Metric",45.835000,-31.340000,-90.000000,top
"C102","22u","C_0805_2012Metric",29.341600,-45.730200,180.000000,top
"C103","22u","C_0805_2012Metric",26.176800,-49.707800,90.000000,top
"C104","22u","C_0805_2012Metric",39.027300,-12.534800,-90.000000,top
"C105","22u","C_0805_2012Metric",45.758300,-12.534800,-90.000000,top
"C106","DNP","C_0402_1005Metric",41.849300,-16.304200,180.000000,top
"C107","22u","C_0805_2012Metric",28.650000,-59.860000,180.000000,top
"C108","100n","C_0402_1005Metric",33.314200,-55.340000,90.000000,top
"C200","10u","C_0603_1608Metric",21.287500,-24.074999,90.000000,top
"C201","100n","C_0402_1005Metric",22.787500,-24.049999,90.000000,top
"C202","100n","C_0402_1005Metric",31.287500,-33.299999,180.000000,top
"C203","100n","C_0402_1005Metric",34.820000,-24.420000,-90.000000,top
"C204","100n","C_0402_1005Metric",26.307500,-21.299999,0.000000,top
"C205","10n","C_0402_1005Metric",22.787500,-28.299999,90.000000,top
"C206","1u","C_0603_1608Metric",21.287500,-28.304999,90.000000,top
"C207","1u","C_0603_1608Metric",19.387500,-28.304999,90.000000,top
"C208","10p","C_0402_1005Metric",19.057500,-25.299999,180.000000,top
"C209","10p","C_0402_1005Metric",16.807500,-25.299999,0.000000,top
"C210","100n","C_0402_1005Metric",48.650000,-23.390000,0.000000,top
"C211","100n","C_0402_1005Metric",4.695000,-17.748400,0.000000,top
"C212","100n","C_0402_1005Metric",11.440000,-7.870000,90.000000,top
"C300","150p","C_0402_1005Metric",19.760600,-58.640000,90.000000,top
"C301","100n","C_0402_1005Metric",21.402800,-59.105200,0.000000,top
"C302","100n","C_0402_1005Metric",20.530000,-52.450000,180.000000,top
"C303","1n","C_0402_1005Metric",15.430000,-56.260000,-90.000000,top
"C304","150p","C_0402_1005Metric",11.000000,-54.270000,90.000000,top
"C305","1n","C_0402_1005Metric",15.876400,-54.746800,180.000000,top
"C306","100n","C_0402_1005Metric",18.012600,-51.752200,-90.000000,top
"C307","150p","C_0402_1005Metric",15.420000,-48.620000,0.000000,top
"C308","10u","C_0603_1608Metric",5.455000,-37.750000,180.000000,top
"C309","10u","C_0603_1608Metric",8.744031,-49.910000,180.000000,top
"C310","10u","C_0402_1005Metric",13.244031,-45.620000,90.000000,top
"C311","100n","C_0603_1608Metric",11.844031,-45.335000,90.000000,top
"C312","100n","C_0402_1005Metric",13.264031,-41.630000,-90.000000,top
"C313","10u","C_0603_1608Metric",11.844031,-41.935000,-90.000000,top
"C314","10u","C_0603_1608Metric",13.780000,-38.360000,180.000000,top
"C315","100n","C_0402_1005Metric",14.089031,-39.750000,180.000000,top
"C400","10u","C_0603_1608Metric",40.565000,-38.450000,180.000000,top
"C401","100n","C_0402_1005Metric",40.845000,-39.980000,180.000000,top
"C402","1u","C_0603_1608Metric",39.740000,-42.275000,-90.000000,top
"C403","1n","C_0402_1005Metric",43.160000,-50.040000,0.000000,top
"C404","150p","C_0402_1005Metric",44.100000,-53.700000,0.000000,top
"C405","1n","C_0402_1005Metric",39.870000,-52.190000,180.000000,top
"C406","100n","C_0402_1005Metric",38.118400,-55.280000,-90.000000,top
"D100","GREEN","LED_0603_1608Metric",53.407500,-11.700000,180.000000,top
"D200","ASMB-MTB0-0A3A2","LED_Avago_PLCC4_3.2x2.8mm_CW",3.490000,-21.080000,-90.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",24.340000,-4.520000,-90.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",23.790000,-11.020000,0.000000,top
"D203","PESD3V3L1BA,115","D_SOD-323",20.270000,-11.030000,180.000000,top
"D204","PESD3V3L1BA,115","D_SOD-323",16.880000,-11.030000,0.000000,top
"D205","PESD3V3L1BA,115","D_SOD-323",14.290000,-8.440000,90.000000,top
"D300","PESD3V3L1BA,115","D_SOD-323",18.425000,-61.950000,180.000000,top
"D400","PESD3V3L1BA,115","D_SOD-323",44.670000,-61.320000,0.000000,top
"FL201","CMF3216F-900-2P-T","CMC-1206",42.950000,-26.325000,180.000000,top
"J200","2x5 1.27mm","PinHeader_2x05_P1.27mm_Vertical_SMD",19.280000,-5.480000,-90.000000,top
"J201","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",57.310000,-26.825000,90.000000,top
"J300","Conn_Coaxial","AMPHENOL-BNC-031-5640-1010",17.580000,-66.920000,180.000000,top
"J400","Conn_Coaxial","AMPHENOL-BNC-031-5640-1010",42.523600,-66.920000,180.000000,top
"L100","10n","L_0402_1005Metric",46.770000,-29.140000,180.000000,top
"L101","15u","MWSA0603S",42.500000,-7.000000,0.000000,top
"L200","10n","L_0402_1005Metric",20.272500,-30.479999,180.000000,top
"R100","10R","R_0805_2012Metric",30.190000,-42.582500,-90.000000,top
"R101","100k","R_0402_1005Metric",41.821300,-15.151000,180.000000,top
"R102","22k","R_0402_1005Metric",39.711100,-15.161200,180.000000,top
"R103","1k","R_0402_1005Metric",53.680000,-13.240000,180.000000,top
"R104","1k","R_0402_1005Metric",31.665200,-58.180000,180.000000,top
"R105","1k","R_0402_1005Metric",28.867200,-58.180000,180.000000,top
"R200","10k","R_0402_1005Metric",28.060000,-21.050000,-90.000000,top
"R201","0R","R_0402_1005Metric",16.787500,-26.424999,0.000000,top
"R202","10K","R_0402_1005Metric",34.890000,-30.880000,-90.000000,top
"R203","10K","R_0402_1005Metric",25.530000,-33.310000,180.000000,top
"R204","1K5","R_0402_1005Metric",39.300000,-25.290000,90.000000,top
"R205","5k1","R_0402_1005Metric",55.920000,-20.550000,180.000000,top
"R206","5k1","R_0402_1005Metric",55.970000,-33.180000,180.000000,top
"R207","1k","R_0402_1005Metric",6.670000,-20.380000,180.000000,top
"R208","1k","R_0402_1005Metric",6.640000,-23.440000,180.000000,top
"R209","1k","R_0402_1005Metric",6.640000,-21.890000,180.000000,top
"R210","49R9","R_0402_1005Metric",23.250000,-12.760000,0.000000,top
"R211","49R9","R_0402_1005Metric",20.840000,-12.790000,180.000000,top
"R212","49R9","R_0402_1005Metric",17.400000,-12.760000,180.000000,top
"R213","49R9","R_0402_1005Metric",12.600000,-7.860000,-90.000000,top
"R300","1k","R_0402_1005Metric",17.350600,-59.680000,90.000000,top
"R301","2M2","R_0402_1005Metric",18.560600,-58.650000,-90.000000,top
"R302","2M2","R_0402_1005Metric",22.430000,-57.930000,180.000000,top
"R303","6k8","R_0402_1005Metric",16.980000,-55.810000,180.000000,top
"R304","22k","R_0402_1005Metric",14.278800,-55.206000,90.000000,top
"R305","12k","R_0402_1005Metric",12.665000,-54.750000,180.000000,top
"R306","1k","R_0402_1005Metric",13.840000,-49.090000,90.000000,top
"R307","1k","R_0402_1005Metric",17.022000,-49.100000,90.000000,top
"R308","49R9","R_0402_1005Metric",6.196800,-39.683200,90.000000,top
"R309","0R","R_0402_1005Metric",18.480000,-37.530000,-90.000000,top
"R400","0R","R_0402_1005Metric",42.865000,-36.400000,-90.000000,top
"R401","10k","R_0402_1005Metric",42.205000,-48.370000,0.000000,top
"R402","6k8","R_0402_1005Metric",41.000000,-50.030000,0.000000,top
"R403","22k","R_0402_1005Metric",41.500000,-51.670000,-90.000000,top
"R404","12k","R_0402_1005Metric",43.200000,-52.200000,0.000000,top
"R405","49R9","R_0402_1005Metric",43.610000,-56.310000,-90.000000,top
"U100","TLV62569DBV","SOT-23-5",42.400000,-12.550000,180.000000,top
"U101","HT7533-1","SOT-89-3",30.355700,-49.591000,0.000000,top
"U102","MCP6001-OT","SOT-23-5",30.540100,-55.807600,0.000000,top
"U200","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",28.787500,-27.299999,0.000000,top
"U201","USBLC6-2SC6","SOT-23-6",48.175000,-26.300000,180.000000,top
"U300","MCP6001-OT","SOT-23-5",20.986800,-55.146100,90.000000,top
"U301","MCP6001-OT","SOT-23-5",15.376500,-52.217000,0.000000,top
"U302","REF3033AIDBZT","SOT-23",8.724031,-47.090000,180.000000,top
"U303","ADC141S626CIMM_NOPB","VSSOP-10",15.674031,-43.730000,0.000000,top
"U400","DAC7563SDGSR","VSSOP-10",42.270000,-43.770000,0.000000,top
"U401","MCP6001-OT","SOT-23-5",40.920000,-54.700000,180.000000,top
"Y200","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",17.762500,-22.949999,180.000000,top
